STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STAPB	1999	5	20	0	0	0.2
STAPB	1999	5	21	0	0	0.02
STAPB	1999	5	22	0	0	0
STAPB	1999	5	23	0	0	0
STAPB	1999	5	24	0	0	0.05
STAPB	1999	5	25	0	0	0
STAPB	1999	5	26	0	0	0
STAPB	1999	5	27	0	0	0
STAPB	1999	5	28	0	0	0
STAPB	1999	5	29	0	0	0
STAPB	1999	5	30	0	0	0
STAPB	1999	5	31	0	0	0
STAPB	1999	6	1	0	0	0.7
STAPB	1999	6	2	0	0	0.45
STAPB	1999	6	3	0	0	0.18
STAPB	1999	6	4	0	0	0.03
STAPB	1999	6	5	0	0	0
STAPB	1999	6	6	0	0	0
STAPB	1999	6	7	0	0	0
STAPB	1999	6	8	0	0	0
STAPB	1999	6	9	0	0	0
STAPB	1999	6	10	0	0	0
STAPB	1999	6	11	0	0	0
STAPB	1999	6	12	0	0	0
STAPB	1999	6	13	0	0	0
STAPB	1999	6	14	0	0	2
STAPB	1999	6	15	0	0	0.3
STAPB	1999	6	16	0	0	0.19
STAPB	1999	6	17	0	0	0.07
STAPB	1999	6	18	0	0	0.1
STAPB	1999	6	19	0	0	0
STAPB	1999	6	20	0	0	0
STAPB	1999	6	21	0	0	0.9
STAPB	1999	6	22	0	0	0.05
STAPB	1999	6	23	0	0	0.04
STAPB	1999	6	24	0	0	0.29
STAPB	1999	6	25	0	0	0.16
STAPB	1999	6	26	0	0	0
STAPB	1999	6	27	0	0	0
STAPB	1999	6	28	0	0	1
STAPB	1999	6	29	0	0	0.04
STAPB	1999	6	30	0	0	0
STAPB	1999	7	1	0	0	0
STAPB	1999	7	2	0	0	0
STAPB	1999	7	3	0	0	0
STAPB	1999	7	4	0	0	0
STAPB	1999	7	5	0	0	0
STAPB	1999	7	6	0	0	0
STAPB	1999	7	7	0	0	0
STAPB	1999	7	8	0	0	0
STAPB	1999	7	9	0	0	0
STAPB	1999	7	10	0	0	0
STAPB	1999	7	11	0	0	0
STAPB	1999	7	12	0	0	1.83
STAPB	1999	7	13	0	0	0.05
STAPB	1999	7	14	0	0	0.02
STAPB	1999	7	15	0	0	0
STAPB	1999	7	16	0	0	0.1
STAPB	1999	7	17	0	0	0
STAPB	1999	7	18	0	0	0
STAPB	1999	7	19	0	0	0.3
STAPB	1999	7	20	0	0	0.01
STAPB	1999	7	21	0	0	0
STAPB	1999	7	22	0	0	0
STAPB	1999	7	23	0	0	0
STAPB	1999	7	24	0	0	0
STAPB	1999	7	25	0	0	0
STAPB	1999	7	26	0	0	0
STAPB	1999	7	27	0	0	0
STAPB	1999	7	28	0	0	0.08
STAPB	1999	7	29	0	0	0.85
STAPB	1999	7	30	0	0	0.08
STAPB	1999	7	31	0	0	0
STAPB	1999	8	1	0	0	0
STAPB	1999	8	2	0	0	2.02
STAPB	1999	8	3	0	0	0.76
STAPB	1999	8	4	0	0	1.43
STAPB	1999	8	5	0	0	0.05
STAPB	1999	8	6	0	0	0
STAPB	1999	8	7	0	0	0
STAPB	1999	8	8	0	0	0
STAPB	1999	8	9	0	0	0.5
STAPB	1999	8	10	0	0	0.55
STAPB	1999	8	11	0	0	0.02
STAPB	1999	8	12	0	0	0.03
STAPB	1999	8	13	0	0	0.16
STAPB	1999	8	14	0	0	0
STAPB	1999	8	15	0	0	0
STAPB	1999	8	16	0	0	0.72
STAPB	1999	8	17	0	0	0.05
STAPB	1999	8	18	0	0	2
STAPB	1999	8	19	0	0	0.5
STAPB	1999	8	20	0	0	0
STAPB	1999	8	21	0	0	0
STAPB	1999	8	22	0	0	0
STAPB	1999	8	23	0	0	2.02
STAPB	1999	8	24	0	0	1.92
STAPB	1999	8	25	0	0	2.02
STAPB	1999	8	26	0	0	0.25
STAPB	1999	8	27	0	0	0.02
STAPB	1999	8	28	0	0	0
STAPB	1999	8	29	0	0	0
STAPB	1999	8	30	0	0	1.66
STAPB	1999	8	31	0	0	1.43
STAPB	1999	9	1	0	0	0.08
STAPB	1999	9	2	0	0	0.07
STAPB	1999	9	3	0	0	0.02
STAPB	1999	9	4	0	0	0
STAPB	1999	9	5	0	0	0
STAPB	1999	9	6	0	0	0
STAPB	1999	9	7	0	0	0.1
STAPB	1999	9	8	0	0	0.35
STAPB	1999	9	9	0	0	0.1
STAPB	1999	9	10	0	0	0.3
STAPB	1999	9	11	0	0	0
STAPB	1999	9	12	0	0	0
STAPB	1999	9	13	0	0	0.45
STAPB	1999	9	14	0	0	0
STAPB	1999	9	15	0	0	0.2
STAPB	1999	9	16	0	0	0.01
STAPB	1999	9	17	0	0	0
STAPB	1999	9	18	0	0	0
STAPB	1999	9	19	0	0	0
STAPB	1999	9	20	0	0	1.75
STAPB	1999	9	21	0	0	1.75
STAPB	1999	9	22	0	0	0.1
STAPB	1999	9	23	0	0	0.02
STAPB	1999	9	24	0	0	0.06
STAPB	1999	9	25	0	0	0
STAPB	1999	9	26	0	0	0
STAPB	1999	9	27	0	0	0
STAPB	1999	9	28	0	0	0
STAPB	1999	9	29	0	0	0
STAPB	1999	9	30	0	0	0
STAPB	1999	10	1	0	0	0
STAPB	1999	10	2	0	0	0.02
STAPB	1999	10	3	0	0	0
STAPB	1999	10	4	0	0	0
STAPB	1999	10	5	0	0	0
STAPB	1999	10	6	0	0	0
STAPB	1999	10	7	0	0	0
STAPB	1999	10	8	0	0	0
STAPB	1999	10	9	0	0	0
STAPB	1999	10	10	0	0	0.01
STAPB	1999	10	11	0	0	0.03
STAPB	1999	10	12	0	0	0.21
STAPB	1999	10	13	0	0	0.13
STAPB	1999	10	14	0	0	2.42
STAPB	1999	10	15	0	0	4.96
STAPB	1999	10	16	0	0	0.34
STAPB	1999	10	17	0	0	0.01
STAPB	1999	10	18	0	0	0.01
STAPB	1999	10	19	0	0	0
STAPB	1999	10	20	0	0	0
STAPB	1999	10	21	0	0	1.17
STAPB	1999	10	22	0	0	0
STAPB	1999	10	23	0	0	0
STAPB	1999	10	24	0	0	0
STAPB	1999	10	25	0	0	0
STAPB	1999	10	26	0	0	0.16
STAPB	1999	10	27	0	0	0.15
STAPB	1999	10	28	0	0	0
STAPB	1999	10	29	0	0	0
STAPB	1999	10	30	0	0	0
STAPB	1999	10	31	0	0	0.12
STAPB	1999	11	1	0	0	1.65
STAPB	1999	11	2	0	0	0.85
STAPB	1999	11	3	0	0	0.02
STAPB	1999	11	4	0	0	0.01
STAPB	1999	11	5	0	0	0
STAPB	1999	11	6	0	0	0
STAPB	1999	11	7	0	0	0
STAPB	1999	11	8	0	0	0
STAPB	1999	11	9	0	0	0
STAPB	1999	11	10	0	0	0
STAPB	1999	11	11	0	0	0
STAPB	1999	11	12	0	0	0.5
STAPB	1999	11	13	0	0	0
STAPB	1999	11	14	0	0	0
STAPB	1999	11	15	0	0	0
STAPB	1999	11	16	0	0	0
STAPB	1999	11	17	0	0	0
STAPB	1999	11	18	0	0	0
STAPB	1999	11	19	0	0	0
STAPB	1999	11	20	0	0	0
STAPB	1999	11	21	0	0	0
STAPB	1999	11	22	0	0	0.34
STAPB	1999	11	23	0	0	0.01
STAPB	1999	11	24	0	0	0
STAPB	1999	11	25	0	0	0
STAPB	1999	11	26	0	0	0
STAPB	1999	11	27	0	0	0
STAPB	1999	11	28	0	0	0
STAPB	1999	11	29	0	0	1.2
STAPB	1999	11	30	0	0	0.01
STAPB	1999	12	1	0	0	0.05
STAPB	1999	12	2	0	0	0.01
STAPB	1999	12	3	0	0	0
STAPB	1999	12	4	0	0	0
STAPB	1999	12	5	0	0	0
STAPB	1999	12	6	0	0	0
STAPB	1999	12	7	0	0	0
STAPB	1999	12	8	0	0	0.2
STAPB	1999	12	9	0	0	0.02
STAPB	1999	12	10	0	0	0.02
STAPB	1999	12	11	0	0	0
STAPB	1999	12	12	0	0	0
STAPB	1999	12	13	0	0	0.16
STAPB	1999	12	14	0	0	0.01
STAPB	1999	12	15	0	0	0
STAPB	1999	12	16	0	0	0
STAPB	1999	12	17	0	0	0.13
STAPB	1999	12	18	0	0	0
STAPB	1999	12	19	0	0	0
STAPB	1999	12	20	0	0	0.24
STAPB	1999	12	21	0	0	0.01
STAPB	1999	12	22	0	0	0.16
STAPB	1999	12	23	0	0	0
STAPB	1999	12	24	0	0	0
STAPB	1999	12	25	0	0	0
